date,puissance_w,type_valeur,jour_semaine,pas_temps
2021-06-19 00:00:00,2518.0,Mesurée,samedi,60.0
2021-06-19 01:00:00,1055.0,Mesurée,samedi,60.0
2021-06-19 02:00:00,263.0,Mesurée,samedi,60.0
2021-06-19 03:00:00,286.0,Mesurée,samedi,60.0
2021-06-19 04:00:00,240.0,Mesurée,samedi,60.0
2021-06-19 05:00:00,278.0,Mesurée,samedi,60.0
2021-06-19 06:00:00,262.0,Mesurée,samedi,60.0
2021-06-19 07:00:00,275.0,Mesurée,samedi,60.0
2021-06-19 08:00:00,1591.0,Mesurée,samedi,60.0
2021-06-19 09:00:00,1307.0,Mesurée,samedi,60.0
2021-06-19 10:00:00,810.0,Mesurée,samedi,60.0
2021-06-19 11:00:00,704.0,Mesurée,samedi,60.0
2021-06-19 12:00:00,388.0,Mesurée,samedi,60.0
2021-06-19 13:00:00,379.0,Mesurée,samedi,60.0
2021-06-19 14:00:00,307.0,Mesurée,samedi,60.0
2021-06-19 15:00:00,274.0,Mesurée,samedi,60.0
2021-06-19 16:00:00,300.0,Mesurée,samedi,60.0
2021-06-19 17:00:00,258.0,Mesurée,samedi,60.0
2021-06-19 18:00:00,1516.0,Mesurée,samedi,60.0
2021-06-19 19:00:00,241.0,Mesurée,samedi,60.0
2021-06-19 20:00:00,272.0,Mesurée,samedi,60.0
2021-06-19 21:00:00,789.0,Mesurée,samedi,60.0
2021-06-19 22:00:00,2135.0,Mesurée,samedi,60.0
2021-06-19 23:00:00,1887.0,Mesurée,samedi,60.0
2021-06-20 00:00:00,1218.0,Mesurée,dimanche,60.0
2021-06-20 01:00:00,392.0,Mesurée,dimanche,60.0
2021-06-20 02:00:00,369.0,Mesurée,dimanche,60.0
2021-06-20 03:00:00,504.0,Mesurée,dimanche,60.0
2021-06-20 04:00:00,647.0,Mesurée,dimanche,60.0
2021-06-20 05:00:00,251.0,Mesurée,dimanche,60.0
2021-06-20 06:00:00,281.0,Mesurée,dimanche,60.0
2021-06-20 07:00:00,247.0,Mesurée,dimanche,60.0
2021-06-20 08:00:00,283.0,Mesurée,dimanche,60.0
2021-06-20 09:00:00,650.0,Mesurée,dimanche,60.0
2021-06-20 10:00:00,1263.0,Mesurée,dimanche,60.0
2021-06-20 11:00:00,2105.0,Mesurée,dimanche,60.0
2021-06-20 12:00:00,2552.0,Mesurée,dimanche,60.0
2021-06-20 13:00:00,1602.0,Mesurée,dimanche,60.0
2021-06-20 14:00:00,1149.0,Mesurée,dimanche,60.0
2021-06-20 15:00:00,416.0,Mesurée,dimanche,60.0
2021-06-20 16:00:00,482.0,Mesurée,dimanche,60.0
2021-06-20 17:00:00,444.0,Mesurée,dimanche,60.0
2021-06-20 18:00:00,199.0,Mesurée,dimanche,60.0
2021-06-20 19:00:00,204.0,Mesurée,dimanche,60.0
2021-06-20 20:00:00,1117.0,Mesurée,dimanche,60.0
2021-06-20 21:00:00,1763.0,Mesurée,dimanche,60.0
2021-06-20 22:00:00,2460.0,Mesurée,dimanche,60.0
2021-06-20 23:00:00,251.0,Mesurée,dimanche,60.0
2021-06-21 00:00:00,214.0,Mesurée,lundi,60.0
2021-06-21 01:00:00,163.0,Mesurée,lundi,60.0
2021-06-21 02:00:00,204.0,Mesurée,lundi,60.0
2021-06-21 03:00:00,179.0,Mesurée,lundi,60.0
2021-06-21 04:00:00,190.0,Mesurée,lundi,60.0
2021-06-21 05:00:00,760.0,Mesurée,lundi,60.0
2021-06-21 06:00:00,213.0,Mesurée,lundi,60.0
2021-06-21 07:00:00,161.0,Mesurée,lundi,60.0
2021-06-21 08:00:00,1361.0,Mesurée,lundi,60.0
2021-06-21 09:00:00,1331.0,Mesurée,lundi,60.0
2021-06-21 10:00:00,431.0,Mesurée,lundi,60.0
2021-06-21 11:00:00,354.0,Mesurée,lundi,60.0
2021-06-21 12:00:00,364.0,Mesurée,lundi,60.0
2021-06-21 13:00:00,579.0,Mesurée,lundi,60.0
2021-06-21 14:00:00,2503.0,Mesurée,lundi,60.0
2021-06-21 15:00:00,1100.0,Mesurée,lundi,60.0
2021-06-21 16:00:00,460.0,Mesurée,lundi,60.0
2021-06-21 17:00:00,1460.0,Mesurée,lundi,60.0
2021-06-21 18:00:00,1162.0,Mesurée,lundi,60.0
2021-06-21 19:00:00,2250.0,Mesurée,lundi,60.0
2021-06-21 20:00:00,931.0,Mesurée,lundi,60.0
2021-06-21 21:00:00,1377.0,Mesurée,lundi,60.0
2021-06-21 22:00:00,2168.0,Mesurée,lundi,60.0
2021-06-21 23:00:00,483.0,Mesurée,lundi,60.0
2021-06-22 00:00:00,293.0,Mesurée,mardi,60.0
2021-06-22 01:00:00,333.0,Mesurée,mardi,60.0
2021-06-22 02:00:00,296.0,Mesurée,mardi,60.0
2021-06-22 03:00:00,265.0,Mesurée,mardi,60.0
2021-06-22 04:00:00,266.0,Mesurée,mardi,60.0
2021-06-22 05:00:00,253.0,Mesurée,mardi,60.0
2021-06-22 06:00:00,251.0,Mesurée,mardi,60.0
2021-06-22 07:00:00,924.0,Mesurée,mardi,60.0
2021-06-22 08:00:00,1112.0,Mesurée,mardi,60.0
2021-06-22 09:00:00,716.0,Mesurée,mardi,60.0
2021-06-22 10:00:00,265.0,Mesurée,mardi,60.0
2021-06-22 11:00:00,259.0,Mesurée,mardi,60.0
2021-06-22 12:00:00,295.0,Mesurée,mardi,60.0
2021-06-22 13:00:00,438.0,Mesurée,mardi,60.0
2021-06-22 14:00:00,611.0,Mesurée,mardi,60.0
2021-06-22 15:00:00,633.0,Mesurée,mardi,60.0
2021-06-22 16:00:00,334.0,Mesurée,mardi,60.0
2021-06-22 17:00:00,290.0,Mesurée,mardi,60.0
2021-06-22 18:00:00,332.0,Mesurée,mardi,60.0
2021-06-22 19:00:00,2184.0,Mesurée,mardi,60.0
2021-06-22 20:00:00,2568.0,Mesurée,mardi,60.0
2021-06-22 21:00:00,1546.0,Mesurée,mardi,60.0
2021-06-22 22:00:00,341.0,Mesurée,mardi,60.0
2021-06-22 23:00:00,603.0,Mesurée,mardi,60.0
2021-06-23 00:00:00,740.0,Mesurée,mercredi,60.0
2021-06-23 01:00:00,313.0,Mesurée,mercredi,60.0
2021-06-23 02:00:00,241.0,Mesurée,mercredi,60.0
2021-06-23 03:00:00,272.0,Mesurée,mercredi,60.0
2021-06-23 04:00:00,255.0,Mesurée,mercredi,60.0
2021-06-23 05:00:00,272.0,Mesurée,mercredi,60.0
2021-06-23 06:00:00,420.0,Mesurée,mercredi,60.0
2021-06-23 07:00:00,862.0,Mesurée,mercredi,60.0
2021-06-23 08:00:00,1074.0,Mesurée,mercredi,60.0
2021-06-23 09:00:00,926.0,Mesurée,mercredi,60.0
2021-06-23 10:00:00,1243.0,Mesurée,mercredi,60.0
2021-06-23 11:00:00,317.0,Mesurée,mercredi,60.0
2021-06-23 12:00:00,493.0,Mesurée,mercredi,60.0
2021-06-23 13:00:00,356.0,Mesurée,mercredi,60.0
2021-06-23 14:00:00,882.0,Mesurée,mercredi,60.0
2021-06-23 15:00:00,470.0,Mesurée,mercredi,60.0
2021-06-23 16:00:00,559.0,Mesurée,mercredi,60.0
2021-06-23 17:00:00,1382.0,Mesurée,mercredi,60.0
2021-06-23 18:00:00,829.0,Mesurée,mercredi,60.0
2021-06-23 19:00:00,2197.0,Mesurée,mercredi,60.0
2021-06-23 20:00:00,2557.0,Mesurée,mercredi,60.0
2021-06-23 21:00:00,799.0,Mesurée,mercredi,60.0
2021-06-23 22:00:00,732.0,Mesurée,mercredi,60.0
2021-06-23 23:00:00,788.0,Mesurée,mercredi,60.0
2021-06-24 00:00:00,2055.0,Mesurée,jeudi,60.0
2021-06-24 01:00:00,330.0,Mesurée,jeudi,60.0
2021-06-24 02:00:00,278.0,Mesurée,jeudi,60.0
2021-06-24 03:00:00,250.0,Mesurée,jeudi,60.0
2021-06-24 04:00:00,249.0,Mesurée,jeudi,60.0
2021-06-24 05:00:00,287.0,Mesurée,jeudi,60.0
2021-06-24 06:00:00,239.0,Mesurée,jeudi,60.0
2021-06-24 07:00:00,1301.0,Mesurée,jeudi,60.0
2021-06-24 08:00:00,1921.0,Mesurée,jeudi,60.0
2021-06-24 09:00:00,328.0,Mesurée,jeudi,60.0
2021-06-24 10:00:00,968.0,Mesurée,jeudi,60.0
2021-06-24 11:00:00,381.0,Mesurée,jeudi,60.0
2021-06-24 12:00:00,287.0,Mesurée,jeudi,60.0
2021-06-24 13:00:00,343.0,Mesurée,jeudi,60.0
2021-06-24 14:00:00,402.0,Mesurée,jeudi,60.0
2021-06-24 15:00:00,273.0,Mesurée,jeudi,60.0
2021-06-24 16:00:00,262.0,Mesurée,jeudi,60.0
2021-06-24 17:00:00,337.0,Mesurée,jeudi,60.0
2021-06-24 18:00:00,351.0,Mesurée,jeudi,60.0
2021-06-24 19:00:00,1844.0,Mesurée,jeudi,60.0
2021-06-24 20:00:00,828.0,Mesurée,jeudi,60.0
2021-06-24 21:00:00,1724.0,Mesurée,jeudi,60.0
2021-06-24 22:00:00,1187.0,Mesurée,jeudi,60.0
2021-06-24 23:00:00,1975.0,Mesurée,jeudi,60.0
2021-06-25 00:00:00,251.0,Mesurée,vendredi,60.0
2021-06-25 01:00:00,267.0,Mesurée,vendredi,60.0
2021-06-25 02:00:00,237.0,Mesurée,vendredi,60.0
2021-06-25 03:00:00,280.0,Mesurée,vendredi,60.0
2021-06-25 04:00:00,275.0,Mesurée,vendredi,60.0
2021-06-25 05:00:00,309.0,Mesurée,vendredi,60.0
2021-06-25 06:00:00,382.0,Mesurée,vendredi,60.0
2021-06-25 07:00:00,455.0,Mesurée,vendredi,60.0
2021-06-25 08:00:00,461.0,Mesurée,vendredi,60.0
2021-06-25 09:00:00,1110.0,Mesurée,vendredi,60.0
2021-06-25 10:00:00,247.0,Mesurée,vendredi,60.0
2021-06-25 11:00:00,313.0,Mesurée,vendredi,60.0
2021-06-25 12:00:00,274.0,Mesurée,vendredi,60.0
2021-06-25 13:00:00,368.0,Mesurée,vendredi,60.0
2021-06-25 14:00:00,845.0,Mesurée,vendredi,60.0
2021-06-25 15:00:00,2959.0,Mesurée,vendredi,60.0
2021-06-25 16:00:00,346.0,Mesurée,vendredi,60.0
2021-06-25 17:00:00,289.0,Mesurée,vendredi,60.0
2021-06-25 18:00:00,1470.0,Mesurée,vendredi,60.0
2021-06-25 19:00:00,612.0,Mesurée,vendredi,60.0
2021-06-25 20:00:00,2750.0,Mesurée,vendredi,60.0
2021-06-25 21:00:00,328.0,Mesurée,vendredi,60.0
2021-06-25 22:00:00,1675.0,Mesurée,vendredi,60.0
2021-06-25 23:00:00,2608.0,Mesurée,vendredi,60.0
2021-06-26 00:00:00,1393.0,Dupliquée,samedi,60.0
2021-06-26 01:00:00,654.0,Dupliquée,samedi,60.0
2021-06-26 02:00:00,271.0,Dupliquée,samedi,60.0
2021-06-26 03:00:00,348.0,Dupliquée,samedi,60.0
2021-06-26 04:00:00,270.0,Dupliquée,samedi,60.0
2021-06-26 05:00:00,363.0,Dupliquée,samedi,60.0
2021-06-26 06:00:00,469.5,Dupliquée,samedi,60.0
2021-06-26 07:00:00,423.5,Dupliquée,samedi,60.0
2021-06-26 08:00:00,993.5,Dupliquée,samedi,60.0
2021-06-26 09:00:00,888.5,Dupliquée,samedi,60.0
2021-06-26 10:00:00,634.0,Dupliquée,samedi,60.0
2021-06-26 11:00:00,519.0,Dupliquée,samedi,60.0
2021-06-26 12:00:00,415.0,Dupliquée,samedi,60.0
2021-06-26 13:00:00,711.0,Dupliquée,samedi,60.0
2021-06-26 14:00:00,728.5,Dupliquée,samedi,60.0
2021-06-26 15:00:00,765.5,Dupliquée,samedi,60.0
2021-06-26 16:00:00,365.0,Dupliquée,samedi,60.0
2021-06-26 17:00:00,341.0,Dupliquée,samedi,60.0
2021-06-26 18:00:00,912.0,Dupliquée,samedi,60.0
2021-06-26 19:00:00,433.5,Dupliquée,samedi,60.0
2021-06-26 20:00:00,351.0,Dupliquée,samedi,60.0
2021-06-26 21:00:00,1858.0,Dupliquée,samedi,60.0
2021-06-26 22:00:00,2638.0,Dupliquée,samedi,60.0
2021-06-26 23:00:00,2317.0,Dupliquée,samedi,60.0
2021-06-27 00:00:00,746.0,Mesurée,dimanche,60.0
2021-06-27 01:00:00,327.0,Mesurée,dimanche,60.0
2021-06-27 02:00:00,337.0,Mesurée,dimanche,60.0
2021-06-27 03:00:00,263.0,Mesurée,dimanche,60.0
2021-06-27 04:00:00,255.0,Mesurée,dimanche,60.0
2021-06-27 05:00:00,612.0,Mesurée,dimanche,60.0
2021-06-27 06:00:00,259.0,Mesurée,dimanche,60.0
2021-06-27 07:00:00,824.0,Mesurée,dimanche,60.0
2021-06-27 08:00:00,301.0,Mesurée,dimanche,60.0
2021-06-27 09:00:00,353.0,Mesurée,dimanche,60.0
2021-06-27 10:00:00,409.0,Mesurée,dimanche,60.0
