Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
25621707630391;Courbe de charge;20/10/2020;20/10/2021;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2021-06-28T00:00:00+02:00;268
2021-06-28T01:00:00+02:00;287
2021-06-28T02:00:00+02:00;241
2021-06-28T03:00:00+02:00;617
2021-06-28T04:00:00+02:00;243
2021-06-28T05:00:00+02:00;264
2021-06-28T06:00:00+02:00;325
2021-06-28T07:00:00+02:00;893
2021-06-28T08:00:00+02:00;1275
2021-06-28T09:00:00+02:00;322
2021-06-28T10:00:00+02:00;2736
2021-06-28T11:00:00+02:00;984
2021-06-28T12:00:00+02:00;1626
2021-06-28T13:00:00+02:00;354
2021-06-28T14:00:00+02:00;1476
2021-06-28T15:00:00+02:00;733
2021-06-28T16:00:00+02:00;438
2021-06-28T17:00:00+02:00;372
2021-06-28T18:00:00+02:00;2621
2021-06-28T19:00:00+02:00;1811
2021-06-28T20:00:00+02:00;720
2021-06-28T21:00:00+02:00;1107
2021-06-28T22:00:00+02:00;1027
2021-06-28T23:00:00+02:00;1073
2021-06-29T00:00:00+02:00;278
2021-06-29T01:00:00+02:00;289
2021-06-29T02:00:00+02:00;610
2021-06-29T03:00:00+02:00;277
2021-06-29T04:00:00+02:00;275
2021-06-29T05:00:00+02:00;269
2021-06-29T06:00:00+02:00;894
2021-06-29T07:00:00+02:00;250
2021-06-29T08:00:00+02:00;426
2021-06-29T09:00:00+02:00;279
2021-06-29T10:00:00+02:00;294
2021-06-29T11:00:00+02:00;294
2021-06-29T12:00:00+02:00;356
2021-06-29T13:00:00+02:00;712
2021-06-29T14:00:00+02:00;343
2021-06-29T15:00:00+02:00;326
2021-06-29T16:00:00+02:00;1016
2021-06-29T17:00:00+02:00;335
2021-06-29T18:00:00+02:00;391
2021-06-29T19:00:00+02:00;1746
2021-06-29T20:00:00+02:00;2420
2021-06-29T21:00:00+02:00;3389
2021-06-29T22:00:00+02:00;2053
2021-06-29T23:00:00+02:00;263
2021-06-30T00:00:00+02:00;255
2021-06-30T01:00:00+02:00;593
2021-06-30T02:00:00+02:00;237
2021-06-30T03:00:00+02:00;256
2021-06-30T04:00:00+02:00;334
2021-06-30T05:00:00+02:00;264
2021-06-30T06:00:00+02:00;278
2021-06-30T07:00:00+02:00;254
2021-06-30T08:00:00+02:00;387
2021-06-30T09:00:00+02:00;1327
2021-06-30T10:00:00+02:00;1055
2021-06-30T11:00:00+02:00;414
2021-06-30T12:00:00+02:00;878
2021-06-30T13:00:00+02:00;1453
